pattern_id,pattern_name,frequency,description
48,ZS->Blinkit,1,Observed transition path: ZS->Blinkit
49,INDmoney->Blinkit,1,Observed transition path: INDmoney->Blinkit
50,OYO->Blinkit,1,Observed transition path: OYO->Blinkit
51,MapOut->Blinkit,1,Observed transition path: MapOut->Blinkit
52,Chat->Blinkit,1,Observed transition path: Chat->Blinkit
53,Optimal Virtual Employee->Blinkit,1,Observed transition path: Optimal Virtual Employee->Blinkit
54,Vyapar->Blinkit,1,Observed transition path: Vyapar->Blinkit
55,Glance->Blinkit,1,Observed transition path: Glance->Blinkit
56,Inter IIT Sports Meet->Blinkit,1,Observed transition path: Inter IIT Sports Meet->Blinkit
57,SocialCops->Blinkit,1,Observed transition path: SocialCops->Blinkit
58,Microsoft->Blinkit,1,Observed transition path: Microsoft->Blinkit
59,Orahi->Blinkit,1,Observed transition path: Orahi->Blinkit
60,Junglee Games->Blinkit,1,Observed transition path: Junglee Games->Blinkit
61,efforts and ensured system correctness leveraging strict validations of inputs.->Blinkit,1,Observed transition path: efforts and ensured system correctness leveraging strict validations of inputs.->Blinkit
62,Keychain->Blinkit,1,Observed transition path: Keychain->Blinkit
63,Gameskraft->Blinkit,1,Observed transition path: Gameskraft->Blinkit
64,AiDASH->Blinkit,1,Observed transition path: AiDASH->Blinkit
65,Crib->Blinkit,1,Observed transition path: Crib->Blinkit
66,Urban Company->Blinkit,1,Observed transition path: Urban Company->Blinkit
67,Campus->Bridge Group Solutions Pvt. Ltd.,1,Observed transition path: Campus->Bridge Group Solutions Pvt. Ltd.
68,Inwizio technologies->BytesFarms Technologies,1,Observed transition path: Inwizio technologies->BytesFarms Technologies
69,EduSkills Foundation->Capgemini,1,Observed transition path: EduSkills Foundation->Capgemini
70,SAMSUNG INNOVATION CAMPUS - SIC->Capgemini Engineering,1,Observed transition path: SAMSUNG INNOVATION CAMPUS - SIC->Capgemini Engineering
71,Client - Disney->Capgemini,1,Observed transition path: Client - Disney->Capgemini
72,Wipro->Capgemini,1,Observed transition path: Wipro->Capgemini
73,Plovi AI->CentraHub CRM,1,Observed transition path: Plovi AI->CentraHub CRM
74,Campus->CGI,1,Observed transition path: Campus->CGI
75,TCS->,1,Observed transition path: TCS->
76,InspireLeap->,1,Observed transition path: InspireLeap->
77,Python Developer->Codezee Solutions Private Limited,1,Observed transition path: Python Developer->Codezee Solutions Private Limited
78,Campus->Cognizant,1,Observed transition path: Campus->Cognizant
79,TCS->Cognizant,1,Observed transition path: TCS->Cognizant
80,Persist Ventures->Cognizant,1,Observed transition path: Persist Ventures->Cognizant
81,Java Software Developer->Cognizant,1,Observed transition path: Java Software Developer->Cognizant
82,Campus->Colley Inc,1,Observed transition path: Campus->Colley Inc
83,Infosys->Deloitte,1,Observed transition path: Infosys->Deloitte
84,automation and containerization using Docker.->Demy Software Solutions,1,Observed transition path: automation and containerization using Docker.->Demy Software Solutions
85,Mythee Software->DharmikVibes | Spiritual Platform,1,Observed transition path: Mythee Software->DharmikVibes | Spiritual Platform
86,Campus->DoubleTick & QuickSell,1,Observed transition path: Campus->DoubleTick & QuickSell
87,Health Insurance Care->DXC Technology,1,Observed transition path: Health Insurance Care->DXC Technology
88,Mumbai Coding Club->Ease My Ai Pvt Ltd,1,Observed transition path: Mumbai Coding Club->Ease My Ai Pvt Ltd
89,Integraate Innovations->Ecolibrium,1,Observed transition path: Integraate Innovations->Ecolibrium
90,Campus->Edge 2 Systems Private Limited,1,Observed transition path: Campus->Edge 2 Systems Private Limited
91,Infinite Computer Solutions->Eggoz Nutrition,1,Observed transition path: Infinite Computer Solutions->Eggoz Nutrition
92,Campus->Embrizon Technologies,1,Observed transition path: Campus->Embrizon Technologies
93,Campus->Eweb Infoway,1,Observed transition path: Campus->Eweb Infoway
94,Campus->Internship Studio,1,Observed transition path: Campus->Internship Studio
95,Campus->FAVLYO,1,Observed transition path: Campus->FAVLYO
96,Birlasoft->FedEx,1,Observed transition path: Birlasoft->FedEx
97,Dazzlon->Feuji,1,Observed transition path: Dazzlon->Feuji
98,TSYS->FIS,1,Observed transition path: TSYS->FIS
99,Tkxel->Gelato,1,Observed transition path: Tkxel->Gelato
100,EPAM Systems->Globant,1,Observed transition path: EPAM Systems->Globant
101,Coding Club PRPCEM->Google,1,Observed transition path: Coding Club PRPCEM->Google
102,Autodesk->Google,1,Observed transition path: Autodesk->Google
103,Hashstack Solutions->Hashstack Solutions Pvt Ltd,1,Observed transition path: Hashstack Solutions->Hashstack Solutions Pvt Ltd
104,Campus->HashTek Solutions,1,Observed transition path: Campus->HashTek Solutions
105,performance backend solutions.->HCLTech,1,Observed transition path: performance backend solutions.->HCLTech
106,Campus->HCLTech,1,Observed transition path: Campus->HCLTech
107,FunctionUp->Hexaware Technologies,1,Observed transition path: FunctionUp->Hexaware Technologies
108,Capgemini->HTC Global Services,1,Observed transition path: Capgemini->HTC Global Services
109,Torry Harris Integration Solutions->IBM,1,Observed transition path: Torry Harris Integration Solutions->IBM
110,IBS Software->IBM,1,Observed transition path: IBS Software->IBM
111,TCS->IBM,1,Observed transition path: TCS->IBM
112,Rolls-Royce->IBM,1,Observed transition path: Rolls-Royce->IBM
113,Campus->Imaginnovate,1,Observed transition path: Campus->Imaginnovate
114,Innovius Global Consultants->Infosys,1,Observed transition path: Innovius Global Consultants->Infosys
115,Aditya Engineering College->Infosys,1,Observed transition path: Aditya Engineering College->Infosys
116,GlobalLogic->Infosys,1,Observed transition path: GlobalLogic->Infosys
117,Foiwe Info Global Solutions->Innocito,1,Observed transition path: Foiwe Info Global Solutions->Innocito
118,Redpine Signals->Innocito,1,Observed transition path: Redpine Signals->Innocito
119,Cognizant->Jio Platforms,1,Observed transition path: Cognizant->Jio Platforms
120,Dream->Blinkit,1,Observed transition path: Dream->Blinkit
121,Campus->Josys,1,Observed transition path: Campus->Josys
122,Campus->Klout Club,1,Observed transition path: Campus->Klout Club
123,Campus->KOFFEEKODES INNOVATIONS PRIVATE LIMITED,1,Observed transition path: Campus->KOFFEEKODES INNOVATIONS PRIVATE LIMITED
124,Campus->Ola,1,Observed transition path: Campus->Ola
125,Campus->Krifal IT Venturs Inc.,1,Observed transition path: Campus->Krifal IT Venturs Inc.
126,Campus->L&T Technology Services,1,Observed transition path: Campus->L&T Technology Services
127,Orinko->Lenskart.com,1,Observed transition path: Orinko->Lenskart.com
128,Easework AI->Li4uid Ltd,1,Observed transition path: Easework AI->Li4uid Ltd
129,Arham Labs->LUZO | Backed by 100X.VC,1,Observed transition path: Arham Labs->LUZO | Backed by 100X.VC
130,Google->Meta,1,Observed transition path: Google->Meta
131,Oracle->Microsoft,1,Observed transition path: Oracle->Microsoft
132,Pacific IT Consulting Ltd.->,1,Observed transition path: Pacific IT Consulting Ltd.->
133,Zilicon Network Solution Pvt Ltd->Mobavenue Media,1,Observed transition path: Zilicon Network Solution Pvt Ltd->Mobavenue Media
134,continued growth and success of Mogi I/O.->Mogi I/O : OTT/Podcast/Short Video Apps for you,1,Observed transition path: continued growth and success of Mogi I/O.->Mogi I/O : OTT/Podcast/Short Video Apps for you
135,VINDITY INC->Mphasis,1,Observed transition path: VINDITY INC->Mphasis
136,Campus->MTN Haus,1,Observed transition path: Campus->MTN Haus
137,Imaginnovate->Mudunuru Group,1,Observed transition path: Imaginnovate->Mudunuru Group
138,Compsoft Ltd->Muthoot FinCorp ONE,1,Observed transition path: Compsoft Ltd->Muthoot FinCorp ONE
139,Campus->Nayaab Services,1,Observed transition path: Campus->Nayaab Services
140,Campus->less than a year,1,Observed transition path: Campus->less than a year
141,Skill Savvy Intern->Worked Building Interactive Web Pages with Database Connectivity,1,Observed transition path: Skill Savvy Intern->Worked Building Interactive Web Pages with Database Connectivity
142,Campus->None,1,Observed transition path: Campus->None
143,To-Let Globe->HP,1,Observed transition path: To-Let Globe->HP
144,Campus->Internshala Trainings,1,Observed transition path: Campus->Internshala Trainings
145,Freelance->Noseberry Digitals,1,Observed transition path: Freelance->Noseberry Digitals
146,Nest WebHost->Nueve,1,Observed transition path: Nest WebHost->Nueve
147,Campus->NUEVE IT SOLUTIONS PRIVATE LIMITED,1,Observed transition path: Campus->NUEVE IT SOLUTIONS PRIVATE LIMITED
148,PeekaPeds->OAK TREE TECH SOLUTIONS,1,Observed transition path: PeekaPeds->OAK TREE TECH SOLUTIONS
149,Varun Group->,1,Observed transition path: Varun Group->
150,Campus->Paytm Money,1,Observed transition path: Campus->Paytm Money
151,F9 INFO TECHNOLOGIES PRIVATE LIMITED->Phantasm Solutions Pvt Ltd,1,Observed transition path: F9 INFO TECHNOLOGIES PRIVATE LIMITED->Phantasm Solutions Pvt Ltd
152,Xotiv Technologies->PincodeKart,1,Observed transition path: Xotiv Technologies->PincodeKart
153,Campus->PRINCE CAPITAL,1,Observed transition path: Campus->PRINCE CAPITAL
154,Snakescript Solutions LLP->Qodemaker,1,Observed transition path: Snakescript Solutions LLP->Qodemaker
155,Bookzy->Quadrant Digital Solutions,1,Observed transition path: Bookzy->Quadrant Digital Solutions
156,Campus->QURILO TECHNOLOGIES LLC,1,Observed transition path: Campus->QURILO TECHNOLOGIES LLC
157,Campus->Rasi Infotech,1,Observed transition path: Campus->Rasi Infotech
158,Propelius Technologies->Reckit,1,Observed transition path: Propelius Technologies->Reckit
159,EaseJobs->,1,Observed transition path: EaseJobs->
160,Worked on end-to-end backend workflows for scalable applications->Revature,1,Observed transition path: Worked on end-to-end backend workflows for scalable applications->Revature
161,Capgemini->Sails Software Inc,1,Observed transition path: Capgemini->Sails Software Inc
162,Napier Healthcare->Sails Software Inc,1,Observed transition path: Napier Healthcare->Sails Software Inc
163,Paytm->Salesforce,1,Observed transition path: Paytm->Salesforce
164,Campus->Self Projects,1,Observed transition path: Campus->Self Projects
165,Campus->Simple Like This,1,Observed transition path: Campus->Simple Like This
166,TalentNex Consulting->Skill-Dzire,1,Observed transition path: TalentNex Consulting->Skill-Dzire
167,BosLeo->Skillminds,1,Observed transition path: BosLeo->Skillminds
168,Campus->SmatBot - AI Communication Tool,1,Observed transition path: Campus->SmatBot - AI Communication Tool
169,KredX->SoftWebPOS,1,Observed transition path: KredX->SoftWebPOS
170,Campus->STEP TO SOFT PVT LTD,1,Observed transition path: Campus->STEP TO SOFT PVT LTD
171,Medkart Pharmacy->TapMind,1,Observed transition path: Medkart Pharmacy->TapMind
172,SRKR Engineering College->TCS,1,Observed transition path: SRKR Engineering College->TCS
173,solution for multiple functionalities.->TCS,1,Observed transition path: solution for multiple functionalities.->TCS
174,Gopi Global Solutions->TCS,1,Observed transition path: Gopi Global Solutions->TCS
175,Hallmark Global Technologies Ltd->TCS,1,Observed transition path: Hallmark Global Technologies Ltd->TCS
176,TCS->Techlusion,1,Observed transition path: TCS->Techlusion
177,Campus->Technoidentity,1,Observed transition path: Campus->Technoidentity
178,Accenture->Tekion Corp,1,Observed transition path: Accenture->Tekion Corp
179,Campus->Telstra,1,Observed transition path: Campus->Telstra
180,sapnagroup->tentwenty digital agency,1,Observed transition path: sapnagroup->tentwenty digital agency
181,Bidgely->Uber,1,Observed transition path: Bidgely->Uber
182,OctaNet Services Pvt Ltd.->UptoSkills,1,Observed transition path: OctaNet Services Pvt Ltd.->UptoSkills
183,Evolve Robot Lab->Vilva Networks - IT Consulting & eCommerce SaaS Company,1,Observed transition path: Evolve Robot Lab->Vilva Networks - IT Consulting & eCommerce SaaS Company
184,WNS->vinukoti solutions,1,Observed transition path: WNS->vinukoti solutions
185,high project success rate and achieving excellent client satisfaction.->Virtusa,1,Observed transition path: high project success rate and achieving excellent client satisfaction.->Virtusa
186,Accenture->Virtusa,1,Observed transition path: Accenture->Virtusa
187,Mechanical Eng. Society_NIT MIZORAM->Virtusa,1,Observed transition path: Mechanical Eng. Society_NIT MIZORAM->Virtusa
188,TECHNOARTZ->vmtspharmasoftware,1,Observed transition path: TECHNOARTZ->vmtspharmasoftware
189,Campus->WebAsha Technologies,1,Observed transition path: Campus->WebAsha Technologies
190,Campus->WebDev Technology,1,Observed transition path: Campus->WebDev Technology
191,Cognifyz Technologies->Web_Bocket,1,Observed transition path: Cognifyz Technologies->Web_Bocket
192,ExcelR->Wipro,1,Observed transition path: ExcelR->Wipro
193,Capgemini Engineering->Wisdomleaf Technologies,1,Observed transition path: Capgemini Engineering->Wisdomleaf Technologies
194,Campus->XRG Consulting Pvt Ltd,1,Observed transition path: Campus->XRG Consulting Pvt Ltd
195,Cybaze Technologies Pvt Ltd.->Zazz.io,1,Observed transition path: Cybaze Technologies Pvt Ltd.->Zazz.io
196,FoxCoder->Bitgraphix,1,Observed transition path: FoxCoder->Bitgraphix
197,NITSAN - TYPO3 Agency->Brainwings Infotech,1,Observed transition path: NITSAN - TYPO3 Agency->Brainwings Infotech
198,Upperthrust Technologies Private Limited->Cimpress,1,Observed transition path: Upperthrust Technologies Private Limited->Cimpress
199,Give->ClickPost,1,Observed transition path: Give->ClickPost
200,MoveoApps->Codage Habitation,1,Observed transition path: MoveoApps->Codage Habitation
201,Milestone Inc->Codezeros,1,Observed transition path: Milestone Inc->Codezeros
202,Blinkit->Coinbase,1,Observed transition path: Blinkit->Coinbase
203,Electronics For You Group->CollegeDekho,1,Observed transition path: Electronics For You Group->CollegeDekho
204,LocoNav->Deel,1,Observed transition path: LocoNav->Deel
205,Commerce Pundit->Embitel Technologies,1,Observed transition path: Commerce Pundit->Embitel Technologies
206,the internal team heads->Blinkit,1,Observed transition path: the internal team heads->Blinkit
207,MCM BPO PRIVATE LIMITED->Faktary E solutions,1,Observed transition path: MCM BPO PRIVATE LIMITED->Faktary E solutions
208,Crio.Do->GoalTeller,1,Observed transition path: Crio.Do->GoalTeller
209,selfemployement->,1,Observed transition path: selfemployement->
210,Self-employed->Moniepoint Group,1,Observed transition path: Self-employed->Moniepoint Group
211,FERO.AI->Nalashaa Solutions,1,Observed transition path: FERO.AI->Nalashaa Solutions
212,Infosys->Quartiz Technology,1,Observed transition path: Infosys->Quartiz Technology
213,Campus->Radial Code,1,Observed transition path: Campus->Radial Code
214,Quinbay->Razorpay,1,Observed transition path: Quinbay->Razorpay
215,Campus->Sav.com,1,Observed transition path: Campus->Sav.com
216,iOTA INFOTECH->Shark Shopfits Private Limited,1,Observed transition path: iOTA INFOTECH->Shark Shopfits Private Limited
217,Sixty13 Web Solutions->Lead Front-End Developer | Crafting Scalable & Innovative Web,1,Observed transition path: Sixty13 Web Solutions->Lead Front-End Developer | Crafting Scalable & Innovative Web
218,Mugafi->Strand Life Sciences,1,Observed transition path: Mugafi->Strand Life Sciences
219,crash-free sessions.->Blinkit,1,Observed transition path: crash-free sessions.->Blinkit
220,Droot->Unolo,1,Observed transition path: Droot->Unolo
221,Ramailo Tech->Urban Layon,1,Observed transition path: Ramailo Tech->Urban Layon
222,Zen & Art->Vation Digital,1,Observed transition path: Zen & Art->Vation Digital
223,HARMAN India->Wipro,1,Observed transition path: HARMAN India->Wipro
224,Kolo->Zipstack,1,Observed transition path: Kolo->Zipstack
225,Sprinklr->Zomato,1,Observed transition path: Sprinklr->Zomato
226,Clear->Zoom,1,Observed transition path: Clear->Zoom
227,FactSet->Amazon,1,Observed transition path: FactSet->Amazon
228,American Express->Amazon,1,Observed transition path: American Express->Amazon
229,Swiggy->Software Development Engineer III,1,Observed transition path: Swiggy->Software Development Engineer III
230,Accenture->Amazon,1,Observed transition path: Accenture->Amazon
231,MyMedGlobal->Amazon,1,Observed transition path: MyMedGlobal->Amazon
232,Zoho->Amazon,1,Observed transition path: Zoho->Amazon
233,Voice Qube->Amazon,1,Observed transition path: Voice Qube->Amazon
234,30% of development efforts leading to higher throughputs->Amazon,1,Observed transition path: 30% of development efforts leading to higher throughputs->Amazon
235,Toddle - Your Teaching Partner->Amazon,1,Observed transition path: Toddle - Your Teaching Partner->Amazon
236,EPAM Systems->Amazon,1,Observed transition path: EPAM Systems->Amazon
237,Jio Platforms->Amazon,1,Observed transition path: Jio Platforms->Amazon
238,Samsung Electronics->Amazon,1,Observed transition path: Samsung Electronics->Amazon
239,Rippling->Amazon,1,Observed transition path: Rippling->Amazon
240,cppsecrets.com->Amazon,1,Observed transition path: cppsecrets.com->Amazon
241,Cogos Technologies Pvt Ltd->Amazon,1,Observed transition path: Cogos Technologies Pvt Ltd->Amazon
242,Josh Technology Group->Amazon,1,Observed transition path: Josh Technology Group->Amazon
243,FlexTrade->Amazon,1,Observed transition path: FlexTrade->Amazon
244,Zolo->Amazon,1,Observed transition path: Zolo->Amazon
245,MAQ Software->Amazon,1,Observed transition path: MAQ Software->Amazon
246,Incedo Inc.->Amazon,1,Observed transition path: Incedo Inc.->Amazon
247,Infosys->Amazon,1,Observed transition path: Infosys->Amazon
248,Sakhatech Information Systems Pvt. Ltd->Amazon,1,Observed transition path: Sakhatech Information Systems Pvt. Ltd->Amazon
249,Flipkart->Amazon,1,Observed transition path: Flipkart->Amazon
250,Akamai Technologies->Amazon,1,Observed transition path: Akamai Technologies->Amazon
251,Wiley Edge->Amazon,1,Observed transition path: Wiley Edge->Amazon
252,Rexzet Solutions->Amazon,1,Observed transition path: Rexzet Solutions->Amazon
253,JPMorgan Chase & Co.->Apple,1,Observed transition path: JPMorgan Chase & Co.->Apple
254,e3NexT Solutions->Blinkit,1,Observed transition path: e3NexT Solutions->Blinkit
255,Prismforce->Blinkit,1,Observed transition path: Prismforce->Blinkit
256,GoMechanic.in->Blinkit,1,Observed transition path: GoMechanic.in->Blinkit
257,NEWME->Blinkit,1,Observed transition path: NEWME->Blinkit
258,Bungee Tech->Blinkit,1,Observed transition path: Bungee Tech->Blinkit
259,Jio Platforms->Blinkit,1,Observed transition path: Jio Platforms->Blinkit
260,Crio.Do->Blinkit,1,Observed transition path: Crio.Do->Blinkit
261,Probo->Blinkit,1,Observed transition path: Probo->Blinkit
262,significantly.->Blinkit,1,Observed transition path: significantly.->Blinkit
263,Finrep AI->Blinkit,1,Observed transition path: Finrep AI->Blinkit
264,Lowe's India->Blinkit,1,Observed transition path: Lowe's India->Blinkit
265,FRND->Blinkit,1,Observed transition path: FRND->Blinkit
266,Meesho->Blinkit,1,Observed transition path: Meesho->Blinkit
267,Vedanta Limited - Aluminium Business->Blinkit,1,Observed transition path: Vedanta Limited - Aluminium Business->Blinkit
268,Alltius->Blinkit,1,Observed transition path: Alltius->Blinkit
269,IndusianAssist Private Limited->Blinkit,1,Observed transition path: IndusianAssist Private Limited->Blinkit
270,Working in the Catalogue Mangement System team->Blinkit,1,Observed transition path: Working in the Catalogue Mangement System team->Blinkit
271,WheelsEye->Blinkit,1,Observed transition path: WheelsEye->Blinkit
272,Tokopedia->Blinkit,1,Observed transition path: Tokopedia->Blinkit
273,Adobe->Blinkit,1,Observed transition path: Adobe->Blinkit
274,Shiprocket->Blinkit,1,Observed transition path: Shiprocket->Blinkit
275,United Techlab->Blinkit,1,Observed transition path: United Techlab->Blinkit
276,Cosedge->Blinkit,1,Observed transition path: Cosedge->Blinkit
277,Mindtickle->Blinkit,1,Observed transition path: Mindtickle->Blinkit
278,Yamaha Motor Solutions India Pvt.Ltd.->Blinkit,1,Observed transition path: Yamaha Motor Solutions India Pvt.Ltd.->Blinkit
279,HCL->Blinkit,1,Observed transition path: HCL->Blinkit
280,Roost.ai->Blinkit,1,Observed transition path: Roost.ai->Blinkit
281,Zoho->Blinkit,1,Observed transition path: Zoho->Blinkit
282,upGrad->Blinkit,1,Observed transition path: upGrad->Blinkit
283,brand2grand->Blinkit,1,Observed transition path: brand2grand->Blinkit
284,7thgear.ai->Blinkit,1,Observed transition path: 7thgear.ai->Blinkit
285,AutomateVellore->Blinkit,1,Observed transition path: AutomateVellore->Blinkit
286,Oxyzo Financial Services->Blinkit,1,Observed transition path: Oxyzo Financial Services->Blinkit
287,with internal model.->Page 1 of,1,Observed transition path: with internal model.->Page 1 of
288,Stryker->,1,Observed transition path: Stryker->
289,MetaBrainz Foundation Inc.->Blinkit,1,Observed transition path: MetaBrainz Foundation Inc.->Blinkit
290,Signzy->Blinkit,1,Observed transition path: Signzy->Blinkit
291,Futurewagon->Blinkit,1,Observed transition path: Futurewagon->Blinkit
292,National engineering olympiads->Cognizant,1,Observed transition path: National engineering olympiads->Cognizant
293,Campus->Flipkart,1,Observed transition path: Campus->Flipkart
294,Elevizo->Medimaze Solutions Pvt Ltd,1,Observed transition path: Elevizo->Medimaze Solutions Pvt Ltd
295,Accenture->Flipkart,1,Observed transition path: Accenture->Flipkart
296,Impelsys->Flipkart,1,Observed transition path: Impelsys->Flipkart
297,Liv.ai->Flipkart,1,Observed transition path: Liv.ai->Flipkart
298,D Cube Analytics->Flipkart,1,Observed transition path: D Cube Analytics->Flipkart
299,LetsTransport->Google,1,Observed transition path: LetsTransport->Google
300,Publicis Sapient->Groww,1,Observed transition path: Publicis Sapient->Groww
301,TCS->JUSPAY,1,Observed transition path: TCS->JUSPAY
302,UBS->A.P. Moller - Maersk,1,Observed transition path: UBS->A.P. Moller - Maersk
303,Cogoport->Avaamo,1,Observed transition path: Cogoport->Avaamo
304,IBM->Microsoft,1,Observed transition path: IBM->Microsoft
305,Airtel Digital->Microsoft,1,Observed transition path: Airtel Digital->Microsoft
306,American Express->Microsoft,1,Observed transition path: American Express->Microsoft
307,Zeta->Microsoft,1,Observed transition path: Zeta->Microsoft
308,FarEye->Microsoft,1,Observed transition path: FarEye->Microsoft
309,Walmart Global Tech India->Google,1,Observed transition path: Walmart Global Tech India->Google
310,Campus->Microsoft,1,Observed transition path: Campus->Microsoft
311,PayU->Microsoft,1,Observed transition path: PayU->Microsoft
312,SmartSoC Solutions Pvt Ltd->Microsoft,1,Observed transition path: SmartSoC Solutions Pvt Ltd->Microsoft
313,"VORTEX, CSEA NIT Trichy->Microsoft",1,"Observed transition path: VORTEX, CSEA NIT Trichy->Microsoft"
314,Zomato->Microsoft,1,Observed transition path: Zomato->Microsoft
315,PhonePe->Google,1,Observed transition path: PhonePe->Google
316,Phenom People->Microsoft,1,Observed transition path: Phenom People->Microsoft
317,Pioneering Web Solutions->Microsoft,1,Observed transition path: Pioneering Web Solutions->Microsoft
318,SAP Labs India->Microsoft,1,Observed transition path: SAP Labs India->Microsoft
319,SingleStore->Microsoft,1,Observed transition path: SingleStore->Microsoft
320,slow network users.->Microsoft,1,Observed transition path: slow network users.->Microsoft
321,Expedia Group->Microsoft,1,Observed transition path: Expedia Group->Microsoft
322,Salesforce->Microsoft,1,Observed transition path: Salesforce->Microsoft
323,JPMorgan Chase & Co.->Microsoft,1,Observed transition path: JPMorgan Chase & Co.->Microsoft
324,Phenom->Microsoft,1,Observed transition path: Phenom->Microsoft
325,PES University->Microsoft,1,Observed transition path: PES University->Microsoft
326,Goldman Sachs->Microsoft,1,Observed transition path: Goldman Sachs->Microsoft
327,Joint Secretary->Microsoft,1,Observed transition path: Joint Secretary->Microsoft
328,GirlScript Summer of Code->BNY,1,Observed transition path: GirlScript Summer of Code->BNY
329,Amazon->Oracle,1,Observed transition path: Amazon->Oracle
330,Vxaro technologies pvt ltd->Cybermasks software pvt ltd,1,Observed transition path: Vxaro technologies pvt ltd->Cybermasks software pvt ltd
331,Campus->BBI,1,Observed transition path: Campus->BBI
332,HCL Technologies->Synchrony,1,Observed transition path: HCL Technologies->Synchrony
333,Emirates->SAP,1,Observed transition path: Emirates->SAP
334,Acko->PayPal,1,Observed transition path: Acko->PayPal
335,Crio.Do->PayPal,1,Observed transition path: Crio.Do->PayPal
336,Pegasystems->PayPal,1,Observed transition path: Pegasystems->PayPal
337,Synechron->PayPal,1,Observed transition path: Synechron->PayPal
338,Zoho->PayPal,1,Observed transition path: Zoho->PayPal
339,Freshworks->PayPal,1,Observed transition path: Freshworks->PayPal
340,Verifone->PayPal,1,Observed transition path: Verifone->PayPal
341,Secondary users consent management for AU-CDR clients->PayPal,1,Observed transition path: Secondary users consent management for AU-CDR clients->PayPal
342,Tradable->PayPal,1,Observed transition path: Tradable->PayPal
343,udaan.com->PayPal,1,Observed transition path: udaan.com->PayPal
344,ZEE - Technology & Innovation->PayPal,1,Observed transition path: ZEE - Technology & Innovation->PayPal
345,Software Engineer->PayPal,1,Observed transition path: Software Engineer->PayPal
