id,student_id,skill_id,proficiency
146,43,11,Beginner
147,43,23,Beginner
148,43,15,Advanced
149,43,24,Beginner
150,43,22,Intermediate
151,44,7,Intermediate
152,44,17,Beginner
153,45,22,Advanced
154,45,17,Intermediate
155,45,10,Beginner
156,45,2,Beginner
157,46,7,Beginner
158,46,4,Intermediate
159,47,3,Intermediate
160,47,4,Intermediate
161,47,23,Advanced
162,47,6,Advanced
163,48,3,Advanced
164,48,26,Advanced
165,48,17,Beginner
166,48,16,Beginner
167,48,11,Intermediate
168,49,10,Intermediate
169,49,22,Intermediate
170,49,6,Intermediate
171,49,19,Intermediate
172,50,2,Advanced
173,50,1,Advanced
174,50,21,Intermediate
175,51,9,Intermediate
176,51,23,Intermediate
177,51,26,Intermediate
178,51,24,Advanced
179,52,8,Intermediate
180,52,5,Intermediate
181,52,6,Beginner
182,52,18,Beginner
183,53,24,Intermediate
184,53,12,Intermediate
185,53,13,Advanced
186,53,25,Intermediate
187,53,11,Intermediate
188,54,26,Advanced
189,54,12,Beginner
190,55,11,Intermediate
191,55,8,Advanced
192,55,16,Intermediate
193,56,24,Intermediate
194,56,11,Intermediate
195,56,7,Intermediate
196,56,17,Advanced
197,56,19,Beginner
198,57,17,Advanced
199,57,12,Advanced
200,57,21,Beginner
201,58,16,Intermediate
202,58,10,Beginner
203,59,13,Advanced
204,59,20,Intermediate
205,59,12,Beginner
206,59,18,Intermediate
207,60,23,Beginner
208,60,24,Beginner
209,60,5,Advanced
210,61,15,Intermediate
211,61,11,Intermediate
212,61,7,Beginner
213,62,14,Advanced
214,62,11,Beginner
215,62,24,Beginner
216,63,7,Advanced
217,63,23,Beginner
218,63,21,Intermediate
219,63,11,Beginner
220,63,24,Beginner
221,64,15,Advanced
222,64,12,Advanced
223,65,2,Beginner
224,65,1,Beginner
225,66,3,Intermediate
226,66,24,Beginner
227,67,20,Intermediate
228,67,13,Advanced
229,67,9,Beginner
230,68,23,Intermediate
231,68,3,Intermediate
232,68,22,Advanced
233,68,26,Beginner
234,68,13,Beginner
235,69,2,Beginner
236,69,13,Advanced
237,69,18,Intermediate
238,69,1,Intermediate
239,70,16,Advanced
240,70,21,Intermediate
241,71,4,Intermediate
242,71,20,Beginner
243,71,24,Intermediate
244,71,17,Advanced
245,72,20,Beginner
246,72,15,Beginner
247,72,12,Beginner
248,72,23,Beginner
249,72,25,Advanced
250,73,20,Beginner
251,73,2,Beginner
252,73,5,Beginner
253,73,22,Intermediate
254,73,21,Advanced
255,74,7,Advanced
256,74,9,Intermediate
257,74,2,Advanced
258,74,1,Advanced
259,75,25,Advanced
260,75,23,Beginner
261,75,24,Advanced
262,76,3,Intermediate
263,76,11,Advanced
264,76,20,Beginner
265,76,15,Intermediate
266,76,8,Intermediate
267,77,6,Advanced
268,77,22,Intermediate
269,77,2,Advanced
270,77,5,Intermediate
271,77,12,Beginner
272,78,23,Beginner
273,78,11,Beginner
274,78,21,Beginner
275,78,15,Beginner
276,79,2,Beginner
277,79,22,Advanced
278,79,17,Intermediate
279,80,26,Advanced
280,80,14,Intermediate
281,81,19,Advanced
282,81,25,Beginner
283,81,12,Intermediate
284,82,18,Beginner
285,82,3,Beginner
286,82,1,Advanced
287,82,15,Advanced
288,82,5,Advanced
289,83,9,Intermediate
290,83,7,Intermediate
291,83,1,Advanced
292,84,12,Intermediate
293,84,17,Advanced
294,84,24,Beginner
295,84,3,Intermediate
296,84,26,Intermediate
297,85,8,Intermediate
298,85,11,Beginner
299,85,13,Advanced
300,85,2,Beginner
301,86,11,Advanced
302,86,10,Beginner
303,86,13,Advanced
304,86,22,Beginner
305,86,23,Beginner
306,87,21,Beginner
307,87,7,Intermediate
308,87,17,Advanced
309,87,14,Intermediate
310,88,14,Beginner
311,88,8,Intermediate
312,88,13,Advanced
313,88,20,Advanced
314,89,11,Beginner
315,89,12,Intermediate
316,90,19,Beginner
317,90,4,Advanced
318,90,7,Beginner
319,91,23,Advanced
320,91,6,Intermediate
321,92,19,Advanced
322,92,26,Beginner
323,93,9,Beginner
324,93,26,Beginner
325,93,11,Beginner
326,93,15,Beginner
327,93,3,Advanced
328,94,9,Intermediate
329,94,10,Intermediate
330,94,16,Advanced
331,94,13,Advanced
332,94,22,Beginner
333,95,4,Intermediate
334,95,24,Beginner
335,96,20,Beginner
336,96,10,Advanced
337,96,16,Advanced
338,96,3,Intermediate
339,96,14,Intermediate
340,97,12,Beginner
341,97,23,Beginner
342,97,25,Beginner
343,98,18,Beginner
344,98,23,Advanced
345,98,12,Intermediate
346,98,5,Advanced
347,99,5,Advanced
348,99,16,Intermediate
349,100,2,Intermediate
350,100,3,Intermediate
351,100,20,Intermediate
352,101,15,Beginner
353,101,3,Intermediate
354,101,16,Advanced
355,102,14,Advanced
356,102,24,Advanced
357,102,5,Intermediate
358,102,13,Advanced
359,102,23,Beginner
360,103,17,Intermediate
361,103,24,Intermediate
362,104,15,Advanced
363,104,4,Beginner
364,104,21,Beginner
365,104,23,Intermediate
366,105,5,Beginner
367,105,7,Intermediate
368,105,1,Intermediate
369,105,13,Intermediate
370,105,23,Intermediate
371,106,11,Beginner
372,106,17,Beginner
373,106,16,Advanced
374,106,13,Advanced
375,107,26,Beginner
376,107,23,Intermediate
377,107,18,Intermediate
378,107,22,Intermediate
379,107,5,Advanced
380,108,2,Intermediate
381,108,10,Intermediate
382,108,13,Advanced
383,108,20,Intermediate
384,109,6,Intermediate
385,109,11,Intermediate
386,110,3,Beginner
387,110,13,Intermediate
388,111,15,Beginner
389,111,1,Beginner
390,111,14,Beginner
391,111,25,Advanced
392,111,11,Advanced
393,112,10,Advanced
394,112,20,Beginner
395,112,4,Intermediate
396,112,17,Advanced
397,113,12,Beginner
398,113,16,Intermediate
399,113,21,Intermediate
400,113,25,Advanced
401,113,10,Intermediate
402,114,7,Intermediate
403,114,14,Beginner
404,114,9,Advanced
405,115,15,Intermediate
406,115,14,Intermediate
407,116,22,Beginner
408,116,9,Intermediate
409,116,21,Beginner
410,116,4,Intermediate
411,116,17,Advanced
412,117,1,Beginner
413,117,5,Beginner
414,117,22,Intermediate
415,118,14,Intermediate
416,118,15,Intermediate
417,118,11,Advanced
418,119,11,Beginner
419,119,26,Beginner
420,119,23,Intermediate
421,119,10,Intermediate
422,119,12,Advanced
423,120,18,Intermediate
424,120,3,Beginner
425,120,11,Advanced
426,120,23,Beginner
